id,text,labels	﻿id,text,labels	tendency
young	young	young
adults.,0	adults.,0	FOR
----------
14051,#WalkAway	14051,#WalkAway	says
#DemocratSocialists	#DemocratSocialists	impossible
#Socialists	#Socialists	grief
#Socialism	#Socialism	Deep
#Resist	#Resist	Tom
#Communists	#Communists	💛
#Antifa	#Antifa	#Antifa
#Cult	#Cult	whoopin’,1
#Crazy	#Crazy	represented
#Insane	#Insane	directed
#mentalillness	#mentalillness	caged
#EmptyHeaded	#EmptyHeaded	left-wing
#BernieSanders	#BernieSanders	tortured""
#Venezuela	#Venezuela	Russian
42	42	incapable
TRILLION	TRILLION	“conservatives”
in	in	in
NEW	NEW	NEW
TAXES	TAXES	exact
#AlexandriaOcasioCortez	#AlexandriaOcasioCortez	equals
#OcasioCortez	#OcasioCortez	BRUTALITY
#EndorsementFail	#EndorsementFail	old,1
#MissVenezuala2018	#MissVenezuala2018	92914,"@USER
Alexandria	Alexandria	beat
Ocasio	Ocasio	it!,1
Cortez	Cortez	different?,0
URL,0	URL,0	URL,0
----------
25125,#TheView	25125,#TheView	chiming
stormy	stormy	told.
was	was	was
in	in	in
trapped	trapped	pervert
by	by	by
a	a	a
dollar	dollar	gone
bill	bill	Antifa,
in	in	in
her	her	her
face	face	mastermind
poor	poor	poor
pornstar	pornstar	Shit
but	but	but
no	no	no
worries	worries	preach
the	the	the
Democratic	Democratic	Democratic
Party	Party	racism
she	she	she
is	is	is
the	the	the
leader	leader	leader
of,1	of,1	#Trump
----------
81974,"#ProudAlumnus	81974,"#ProudAlumnus	THIS
Keep	Keep	Keep
up	up	up
the	the	the
great	great	great
work,	work,	refugee
@USER	@USER	@USER
Don't	Don't	96893,@USER
forget	forget	forget
you	you	you
are	are	are
under	under	under
GREAT	GREAT	unemployment
leadership,	leadership,	hollow
so	so	so
take	take	take
some	some	some
time	time	time
to	to	to
soak	soak	week,1
in	in	in
the	the	the
skills	skills	TYPICAL
they	they	they
aim	aim	deserved
to	to	to
teach.	teach.	impossible
URL",0	URL",0	URL",0
----------
76797,#WILDCARDWEDNESDAY	76797,#WILDCARDWEDNESDAY	month
#MAXDRIVEWILDCARDWEDNESDAY	#MAXDRIVEWILDCARDWEDNESDAY	backbone
You	You	You
Are	Are	Are
#OnAirWithShine	#OnAirWithShine	tolerance
#NP	#NP	canon,0
HAPPIER	HAPPIER	grab
		
-	-	-
@USER	@USER	@USER
FT	FT	grief
@USER	@USER	@USER
		
On	On	On
The	The	The
#MaxDrive	#MaxDrive	noses
w.@USER	w.@USER	different?,0
the	the	the
#RadioENCHANTRESS,0	#RadioENCHANTRESS,0	#Jesus
----------
57494,@USER	57494,@USER	Besides
He	He	He
is	is	is
off	off	off
the	the	the
deep	deep	deep
end.	end.	Democrat....No
This	This	This
calls	calls	calls
for	for	for
an	an	an
intervention,0	intervention,0	old,1
----------
49441,#CNBC	49441,#CNBC	18028,Remember
what's	what's	what's
go	go	go
talk	talk	FUCK,1
about	about	about
the	the	the
gender	gender	percent
gap	gap	beats
in	in	in
silicon	silicon	different?,0
valley	valley	tolerance
but	but	but
won't	won't	won't
talk	talk	until
about	about	about
the	the	the
gap	gap	beats
between	between	between
conservatives	conservatives	conservatives
and	and	and
#emocrats	#emocrats	CBC
and	and	and
the	the	the
#bias,0	#bias,0	web
----------
78266,$500	78266,$500	likes
Million	Million	WEEK
Funding	Funding	43605,@USER
Competition	Competition	flag""""",0
for	for	for
US	US	US
cities	cities	cities
That’s	That’s	That’s
nice.	nice.	showing.
⁦@USER	⁦@USER	mistake.
		
URL,0	URL,0	URL,0
----------
31401,@USER	31401,@USER	Really?""",0
She	She	She
Is	Is	Is
A	A	A
ChiCom	ChiCom	Scandals
Spy.....	Spy.....	impossible
#ClubGITMO,0	#ClubGITMO,0	whistle.
----------
80020,"#Repost	80020,"#Repost	believed
@USER	@USER	@USER
・・・	・・・	moron
We	We	We
can’t	can’t	can’t
forget	forget	forget
to	to	to
give	give	give
props	props	Antifa.
to	to	to
Naomi	Naomi	tolerance
Osaka!!	Osaka!!	tolerance
🏆🎾	🏆🎾	concrete??,1
She	She	She
played	played	played
against	against	against
her	her	her
idol	idol	terrified,1
and	and	and
won.	won.	tolerance
In	In	countries
someways	someways	ARE
the	the	the
win	win	win
has	has	has
been	been	been
overshadowed,	overshadowed,	different?,0
but	but	but
she	she	she
is	is	is
so	so	so
humbled	humbled	serial
in	in	in
her…	her…	#BigTech,0
URL",0	URL",0	URL",0
----------
61295,And	61295,And	12842,@USER
these	these	these
entertainment	entertainment	BRUTALITY
agencies	agencies	agencies
just	just	just
gonna	gonna	gonna
have	have	have
to	to	to
be	be	be
an	an	an
ass	ass	ass
about	about	about
it.	it.	it.
URL,1	URL,1	URL,1
----------
45518,@USER	45518,@USER	18591,@USER
He	He	He
is	is	is
obviously	obviously	are!
getting	getting	getting
suspended.	suspended.	Ah
He	He	He
is	is	is
not	not	not
an	an	an
asset	asset	WATCH
for	for	for
anyone,0	anyone,0	tortured""
----------
53351,"#Trump	53351,"#Trump	there,0
Really,	Really,	pervert
everything	everything	everything
Trump	Trump	Trump
does	does	does
is	is	is
another	another	another
piece	piece	piece
of	of	of
evidence	evidence	evidence
for	for	for
obstruction	obstruction	gordon
of	of	of
justice.	justice.	pervert
He	He	He
is	is	is
a	a	a
talking	talking	talking
crime	crime	crime
machine.",1	machine.",1	tolerance
----------
51610,#Canada	51610,#Canada	😭
-	-	-
EXCLUSIVE:	EXCLUSIVE:	FUCK,1
#Trudeau	#Trudeau	Yeah
#Liberals	#Liberals	#Liberals
leave	leave	leave
$372M	$372M	blacks
meant	meant	meant
to	to	to
help	help	help
veterans	veterans	receiving
unspent	unspent	statement?
since	since	since
taking	taking	taking
office	office	office
URL,0	URL,0	URL,0
----------
26758,@USER	26758,@USER	think
@USER	@USER	@USER
...than	...than	BRUTALITY
why	why	why
did	did	did
you	you	you
show	show	show
us	us	us
how	how	how
hot	hot	hot
she	she	she
is	is	is
?,0	?,0	?,0
----------
30718,@USER	30718,@USER	donations
@USER	@USER	@USER
@USER	@USER	@USER
You	You	You
have	have	have
yet	yet	yet
to	to	to
answer	answer	answer
what	what	what
*realistically	*realistically	whistle.
enforceable*	enforceable*	demonRATs
gun	gun	gun
control	control	control
law	law	law
would	would	would
*prevent*	*prevent*	Hockey
the	the	the
tragedies	tragedies	brought
without	without	without
violating	violating	impossible
Due	Due	truth
Process	Process	nerve.,1
and	and	and
HIPAA...,0	HIPAA...,0	tolerance
----------
25463,"#DisarmThem?	25463,"#DisarmThem?	75870,@USER
This	This	This
goes	goes	goes
to	to	to
show	show	show
how	how	how
moronic	moronic	presence
Antifa	Antifa	Antifa
types	types	types
are,	are,	different
because	because	because
this	this	this
is	is	is
a	a	a
good	good	good
way	way	way
to	to	to
encourage	encourage	hadn’t
some	some	some
dumbass	dumbass	17946,"@USER
to	to	to
rightfully	rightfully	whistle.
get	get	get
speedrocked.	speedrocked.	❤️,0
Open	Open	gun
carry	carry	crossed
users	users	THERES
practice	practice	WAS
weapon	weapon	😳
retention.	retention.	“conservatives”
Gun	Gun	Gun
grabs	grabs	mastermind
will	will	will
go	go	go
very	very	very
badly	badly	control,
for	for	for
you	you	you
if	if	if
you	you	you
try.	try.	manipulate
You	You	You
will	will	will
get	get	get
shot,	shot,	SINCE.
so	so	so
don't	don't	don't
do	do	do
it.	it.	it.
#2A	#2A	#2A
URL",1	URL",1	URL",1
----------
82558,#MAGA	82558,#MAGA	❤️,0
		
...	...	...
got	got	got
any	any	any
ideas	ideas	ideas
how	how	how
she	she	she
could	could	could
have	have	have
done	done	done
it?	it?	it?
URL,0	URL,0	URL,0
----------
85613,#ChristineBFord	85613,#ChristineBFord	Honestly
#LiberalsAreDesperate	#LiberalsAreDesperate	students.
@USER	@USER	@USER
every	every	every
time	time	time
liberals	liberals	liberals
don't	don't	don't
get	get	get
there	there	there
way	way	way
they	they	they
cry	cry	cry
racism	racism	25679,@USER
or	or	or
sexual	sexual	sexual
assault.	assault.	Congress.
Hard	Hard	better.,0
to	to	to
believe,1	believe,1	students.
----------
36875,"(URL	36875,"(URL	43605,@USER
You	You	You
can't	can't	every
summarize	summarize	Obviously..D'uh
the	the	the
rankings	rankings	Devout
of	of	of
a	a	a
game	game	game
mode	mode	vs
in	in	in
just	just	just
one	one	one
picture""	picture""	seat.
URL",0	URL",0	URL",0
----------
86142,#Learn	86142,#Learn	64859,@USER
from	from	from
it	it	it
and	and	and
become	become	become
#better	#better	33366,@USER
instead	instead	instead
of	of	of
remaining	remaining	Goofy’s
#stuck	#stuck	fun!!!!,1
in	in	in
it	it	it
and	and	and
become	become	become
#bitter.	#bitter.	Scandals
#CLifeClearly	#CLifeClearly	showing.
#CLifeThryve	#CLifeThryve	students.
#AboutThatLife	#AboutThatLife	Sargon
#CLifeMacon,0	#CLifeMacon,0	tolerance
----------
87711,"#KamalaHarris	87711,"#KamalaHarris	education
may	may	may
run	run	run
for	for	for
President	President	President
in	in	in
2020,	2020,	watch
but	but	but
will	will	will
never	never	never
be	be	be
#POTUS.	#POTUS.	terrible
Sadly,	Sadly,	Mom
she	she	she
is	is	is
guaranteed	guaranteed	pervert
a	a	a
leadership	leadership	leadership
role	role	role
in	in	in
politics,	politics,	embrace
much	much	much
like	like	like
#DianneFeinstein,	#DianneFeinstein,	48410,@USER
that’s	that’s	that’s
reality	reality	reality
in	in	in
liberal	liberal	liberal
California.	California.	Shit
Ask	Ask	Ask
#NancyPelosi!	#NancyPelosi!	#AskAlly,0
#ChuckSchumer	#ChuckSchumer	FUCK,1
#CNN	#CNN	Criminals
#MSNBC",0	#MSNBC",0	focus
----------
51626,Levi	51626,Levi	somewhere
Strauss	Strauss	doctrine
has	has	has
“never	“never	THANK
been	been	been
afraid	afraid	afraid
to	to	to
take	take	take
an	an	an
unpopular	unpopular	garbage
stand	stand	stand
to	to	to
support	support	support
a	a	a
greater	greater	After
good.”	good.”	career
'	'	broadcast
		
What	What	What
about	about	about
when	when	when
they	they	they
shut	shut	shut
down	down	down
all	all	all
manufacturing	manufacturing	painful
in	in	in
America?	America?	google
		
That	That	That
wasn't	wasn't	wasn't
even	even	even
a	a	a
news	news	news
story	story	story
when	when	when
it	it	it
happened.	happened.	mindset
Maybe	Maybe	Maybe
they're	they're	they're
right;	right;	greatest
it	it	it
wasn't	wasn't	wasn't
unpopular.	unpopular.	One
		
URL,0	URL,0	URL,0
----------
59423,#repost	59423,#repost	80395,@USER
@USER	@USER	@USER
is	is	is
giving	giving	conservatives.
a	a	a
word	word	word
with	with	with
this	this	this
jacket.	jacket.	THIS
#preach	#preach	Terrible.,0
#saynotofuckboys	#saynotofuckboys	canon,0
#dontgiveyourmagictomuggles	#dontgiveyourmagictomuggles	“conservatives”
URL,0	URL,0	URL,0
----------
80555,#Emmys	80555,#Emmys	piece
sooo	sooo	sooo
lovely	lovely	Japan
I	I	I
love	love	love
the	the	the
dress	dress	Congressional
colour	colour	Order""
and	and	and
the	the	the
design	design	🤔🤔,0
looks	looks	looks
like	like	like
fairy	fairy	Lucky
tales	tales	hollow
and	and	and
she	she	she
is	is	is
very	very	very
tender	tender	Russian
🌬	🌬	students.
URL,0	URL,0	URL,0
----------
85830,"#CHANGE	85830,"#CHANGE	is?
		
I	I	I
remember	remember	remember
past	past	past
administrations	administrations	different?,0
chant	chant	Russian
was	was	was
change"".	change"".	THINK
		
There	There	There
was	was	was
no	no	no
change	change	change
carried	carried	shuts
the	the	the
same	same	same
baton	baton	backbone
and	and	and
did	did	did
nothing.	nothing.	nothing.
		
This	This	This
POTUS	POTUS	POTUS
is	is	is
making	making	making
the	the	the
changes.	changes.	impossible
		
He	He	He
does	does	does
what	what	what
he	he	he
says.	says.	deliver
		
So	So	So
far	far	far
for	for	for
the	the	the
better.	better.	better.
		
		
I	I	I
like.	like.	heads
		
But	But	But
swampies,	swampies,	#Satanists
liberals,	liberals,	liberals,
lefties	lefties	hollow
just	just	just
hatin.	hatin.	tolerance
Don't	Don't	96893,@USER
be	be	be
hatin""",0	hatin""",0	butt
----------
29102,An	29102,An	Hopefully
open	open	open
letter	letter	Garlands
to	to	to
Mac	Mac	between
Miller	Miller	wasca
URL,0	URL,0	URL,0
----------
85886,"#CincinnatiEnquirer	85886,"#CincinnatiEnquirer	sacrifices
steps	steps	guys
into	into	into
#Gun	#Gun	❤️,0
Control	Control	Control
FINALLY.	FINALLY.	#BigTech,0
Took	Took	proven
a	a	a
#MassShhoting	#MassShhoting	no#MAGA
on	on	on
their	their	their
damn	damn	damn
door	door	PLEASE
step	step	step
for	for	for
their	their	their
#editors	#editors	wasting
to	to	to
wake	wake	wake
up,	up,	Richard
but	but	but
better	better	better
late	late	late
than	than	than
never.	never.	Thursday!
URL",1	URL",1	URL",1
----------
54621,!!!!bitch	54621,!!!!bitch	Was
i’m	i’m	i’m
fucking	fucking	fucking
coming	coming	coming
back	back	back
URL,1	URL,1	URL,1
----------
80397,#Liberals	80397,#Liberals	the
Are	Are	Are
Reaching	Reaching	breaker.,1
Peak	Peak	flag""""",0
Desperation	Desperation	shit...
To	To	To
Call	Call	sent
On	On	On
#PhillipRuddock	#PhillipRuddock	students.
To	To	To
Talk	Talk	denounce
With	With	destroying
#Turnbull	#Turnbull	mouths
To	To	To
Convince	Convince	beautiful!
Him	Him	Him
To	To	To
Help	Help	tired
with	with	with
#WentworthVotes	#WentworthVotes	discovered
18	18	o
Sept	Sept	pervert
2018	2018	2018
		
@USER	@USER	@USER
#Auspol	#Auspol	whistle.
#LNP	#LNP	one!
#NSWpol	#NSWpol	fierce!
@USER	@USER	@USER
		
@USER	@USER	@USER
@USER	@USER	@USER
#LNPMemes	#LNPMemes	guy.,0
URL,1	URL,1	URL,1
----------
76937,@USER	76937,@USER	Second
Most	Most	Most
of	of	of
them	them	them
in	in	in
Chicago	Chicago	Chicago
where	where	THIS
there	there	there
is	is	is
STRICTER	STRICTER	watch
gun	gun	gun
control.	control.	control.
IT	IT	where
DOESNT	DOESNT	limbs
WORK!,0	WORK!,0	fun!!!!,1
----------
68875,$uicideboy$	68875,$uicideboy$	told.
ON	ON	chiming
HALLOWEEN	HALLOWEEN	NFL
its	its	its
aboout	aboout	students.
to	to	to
get	get	get
sooooo	sooooo	rallies
FUCKING	FUCKING	FUCKING
spooky,1	spooky,1	refer
----------
89591,@USER	89591,@USER	about?,0
He	He	He
does.	does.	,DRUNK
And	And	And
I'm	I'm	I'm
glad	glad	glad
he	he	he
always	always	companies
goes	goes	goes
out	out	out
on	on	on
something	something	something
reckless	reckless	“conservatives”
to	to	to
show	show	show
who	who	who
he	he	he
is	is	is
going	going	going
out	out	out
and	and	and
coming	coming	coming
back	back	back
everytime!	everytime!	sure.,0
Jeff	Jeff	Jeff
is	is	is
the	the	the
best!!!,0	best!!!,0	fun!!!!,1
----------
67926,"#Democrat	67926,"#Democrat	44485,@USER
controlled	controlled	#QArmy
city	city	city
with	with	with
strict	strict	strict
gun	gun	gun
control	control	control
laws	laws	u
and	and	and
@USER	@USER	@USER
wants	wants	wants
to	to	to
blame	blame	blame
the	the	the
#GOP	#GOP	nominated
Um,	Um,	35521,@USER
isn’t	isn’t	isn’t
it	it	it
you	you	you
rich	rich	rich
#Democrats	#Democrats	#Democrats
trying	trying	trying
to	to	to
keep	keep	keep
the	the	the
blacks	blacks	NFL.,0
in	in	in
poverty?	poverty?	fault
#WalkAway	#WalkAway	#WalkAway
URL",1	URL",1	URL",1
----------
41588,@USER	41588,@USER	Almost
Got	Got	Got
to	to	to
love	love	love
that	that	that
the	the	the
people	people	people
making	making	making
the	the	the
laws	laws	THINK
tend	tend	fucked
to	to	to
know	know	know
nothing	nothing	nothing
about	about	about
the	the	the
subject	subject	subject
they're	they're	they're
making	making	making
the	the	the
law	law	law
for.	for.	for.
You	You	You
should	should	should
hear	hear	hear
some	some	some
of	of	of
the	the	the
gun	gun	gun
control	control	control
laws	laws	u
people	people	people
try	try	try
to	to	to
pass	pass	pass
here	here	here
in	in	in
the	the	the
states.,1	states.,1	privilege!
----------
18091,@USER	18091,@USER	GET
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
Same	Same	Same
here😢😢.	here😢😢.	Trump.,1
I	I	I
can't	can't	can't
hear	hear	hear
what	what	what
she	she	she
is	is	is
saying,0	saying,0	met
----------
56205,@USER	56205,@USER	Grow
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
Penny	Penny	blind.
believes	believes	believes
that	that	that
she	she	she
is	is	is
so	so	so
intelligent	intelligent	intelligent
that	that	that
she	she	she
just	just	just
knows	knows	knows
he	he	he
will.....I	will.....I	PM.
think	think	think
she	she	she
may	may	may
be	be	be
the	the	the
smartest	smartest	fun!!!!,1
Canadian.....ever.	Canadian.....ever.	students.
Canadians	Canadians	pervert
are	are	are
fun	fun	fun
to	to	to
watch.	watch.	promise
They	They	They
have	have	have
to	to	to
get	get	get
on	on	on
Twitter	Twitter	Twitter
in	in	in
the	the	the
US	US	US
to	to	to
find	find	find
anyone	anyone	anyone
with	with	with
an	an	an
opinion.	opinion.	incapable
I	I	I
like	like	like
RUSH...and	RUSH...and	students.
hockey,0	hockey,0	tortured""
----------
24467,#SandraOh...OH	24467,#SandraOh...OH	83443,@USER
how	how	how
I	I	I
love	love	love
that	that	that
you	you	you
brought	brought	brought
your	your	your
parents...they	parents...they	mastermind
(and	(and	(and
you)	you)	week,1
are	are	are
the	the	the
epitome	epitome	voice.
of	of	of
grace	grace	weren’t
and	and	and
beauty!,0	beauty!,0	beautiful!
----------
47245,#HealingYourself	47245,#HealingYourself	blocking
is	is	is
connected	connected	continue
with	with	with
#healingothers.,0	#healingothers.,0	one!
----------
32851,#ChristineBlaseyFord	32851,#ChristineBlaseyFord	Real
needs	needs	needs
to	to	to
testify	testify	testify
under	under	under
oath	oath	oath
before	before	before
anything.	anything.	anything.
The	The	The
claims	claims	#ConfirmKavanaugh
should	should	should
be	be	be
investigated	investigated	conservatives,0
as	as	as
far	far	far
as	as	as
any	any	any
of	of	of
these	these	these
claims	claims	test
can	can	can
be	be	be
investigated.	investigated.	Creepy
If/	If/	63839,@USER
when	when	when
it	it	it
comes	comes	racism
down	down	down
to	to	to
her	her	her
word	word	word
vs.	vs.	i’m
#Kavanaugh's	#Kavanaugh's	FUND
he	he	he
should	should	should
be	be	be
approved	approved	different
as	as	as
soon	soon	soon
as	as	as
possible.	possible.	Nazis
Full	Full	THERES
stop.	stop.	Ah
		
#MAGA	#MAGA	#MAGA
#QAnon,0	#QAnon,0	whistle.
----------
86982,#Maga	86982,#Maga	#conservative
@USER	@USER	@USER
		
		
Antifa	Antifa	Antifa
website	website	not.
instructing	instructing	:(
how	how	how
to	to	to
hurt	hurt	hurt
multiple	multiple	Doug
police	police	police
officers	officers	idiot.
and	and	and
how	how	how
to	to	to
cross	cross	cross
border.	border.	thing.,0
		
URL	URL	URL
URL,0	URL,0	URL,0
----------
95247,"#NationalDayofEncouragement	95247,"#NationalDayofEncouragement	single
#EncouragementDare	#EncouragementDare	HAVE
Therefore	Therefore	Thursday!
#encourage	#encourage	tolerance
one	one	one
another	another	another
and	and	and
build	build	cross
each	each	Maybe
other	other	other
up,	up,	anyway.,0
just	just	just
as	as	as
in	in	in
fact	fact	fact
you	you	you
are	are	are
doing!!	doing!!	mastermind
#Thessalonians	#Thessalonians	BRUTALITY
#scripture	#scripture	HAPPENS
#verse	#verse	old,1
To	To	To
donate,	donate,	“conservatives”
go	go	go
to	to	to
our	our	our
website(link	website(link	incapable
in	in	in
bio!),	bio!),	students.
call	call	call
404-478-9794	404-478-9794	towards
or	or	or
email	email	DONT
donate@USER	donate@USER	PM.
#community	#community	again!
URL",0	URL",0	URL",0
----------
74211,94-year-old	74211,94-year-old	heart
Bletchley	Bletchley	SINCE.
Park	Park	Where’s
veteran:	veteran:	POLICE
I	I	I
helped	helped	Thatcher
defeat	defeat	barely
the	the	the
Nazis	Nazis	done
in	in	in
1941	1941	Order""
and	and	and
I'm	I'm	I'm
ready	ready	ready
to	to	to
fight	fight	fight
fascism	fascism	tv
again	again	again
now	now	now
URL,0	URL,0	URL,0
----------
51948,@USER	51948,@USER	song
#WalkAWayFromCatholicism	#WalkAWayFromCatholicism	mastermind
it	it	it
is	is	is
a	a	a
corrupt	corrupt	corrupt
to	to	to
the	the	the
core	core	core
and	and	and
become	become	become
a	a	a
giant	giant	IT.
autocratic	autocratic	#Pedo's
pedophile	pedophile	pedophile
ring.,1	ring.,1	#Satanists
----------
28196,"#CALIFORNIA	28196,"#CALIFORNIA	charge
PATRIOTS...	PATRIOTS...	tolerance
especially	especially	towards
those	those	those
in	in	in
#CA21	#CA21	equals
		
Obama/Soros	Obama/Soros	#Pedo's
are	are	are
attempting	attempting	American
to	to	to
take	take	take
this	this	this
House	House	House
seat	seat	Bitter
to	to	to
get	get	get
control	control	control
of	of	of
Congress.	Congress.	interesting
		
Say	Say	Got
no	no	no
to	to	to
TJ	TJ	students.
Cox.	Cox.	tortured""
		
He	He	He
is	is	is
a	a	a
shill	shill	Tyler!
Candidate	Candidate	#StopBrexit
fronted	fronted	fun!!!!,1
by	by	by
the	the	the
dastardly	dastardly	BRUTALITY
duo.	duo.	watch
		
Please	Please	Please
get	get	get
out	out	out
and	and	and
vote	vote	vote
David	David	David
Valadao	Valadao	Congress.
for	for	for
House,	House,	didn't.
Dist	Dist	showing.
21!	21!	propose?,0
Follow	Follow	CONservatives
@USER	@USER	@USER
URL",1	URL",1	URL",1
----------
71881,#noshadenotea	71881,#noshadenotea	pervert
but	but	but
like	like	like
if	if	if
you	you	you
are	are	are
in	in	in
community	community	cat
college	college	(
and	and	and
your	your	your
parents	parents	parents
still	still	still
have	have	have
to	to	to
pick	pick	pick
you	you	you
up	up	up
and	and	and
drop	drop	drop
you	you	you
off.	off.	growth
You	You	You
need	need	need
to	to	to
get	get	get
your	your	your
life	life	life
together	together	years
omg,0	omg,0	❤️,0
----------
50376,#NAME?,1	50376,#NAME?,1	biggest
----------
64161,@USER	64161,@USER	33019,@USER
Exactly	Exactly	Exactly
it’s	it’s	it’s
bc	bc	bc
slick	slick	hearing
woods	woods	WEEK
has	has	has
that	that	that
unconventional	unconventional	❤
look	look	look
that	that	that
she’s	she’s	she’s
who	who	who
she	she	she
is	is	is
yea	yea	terrible
she	she	she
ain’t	ain’t	ain’t
attractive	attractive	Old
to	to	to
most	most	most
of	of	of
us	us	us
but	but	but
that	that	that
shit	shit	shit
don’t	don’t	don’t
matter	matter	matter
@	@	THIS
all	all	all
lol,0	lol,0	lol,0
----------
45304,#ArrestGeorgeSoros	45304,#ArrestGeorgeSoros	#VoteRed2018
He	He	He
Funds	Funds	vote.
#DomesticTerrorists	#DomesticTerrorists	canon,0
#Antifa	#Antifa	#Antifa
URL,1	URL,1	URL,1
----------
22248,#Interesting	22248,#Interesting	#ChristineBlaseyFord
		
Has	Has	Has
she	she	she
gone	gone	gone
through	through	through
any	any	any
kind	kind	kind
of	of	of
background	background	week.
check	check	check
similar	similar	CBC
to	to	to
the	the	the
6	6	piece
#FBI	#FBI	discovered
background	background	@USER
checks	checks	champion
that	that	that
#JudgeKavanaugh	#JudgeKavanaugh	to:
has?	has?	taxpayer
URL,0	URL,0	URL,0
----------
27228,#Conservatives	27228,#Conservatives	20232,@USER
Govt	Govt	stays
have	have	have
run	run	run
up	up	up
debt	debt	debt
in	in	in
spite	spite	is!!!
of	of	of
austerity	austerity	imagine
cuts	cuts	utter
while	while	while
the	the	the
rich	rich	rich
have	have	have
doubled	doubled	spirit
their	their	their
wealth.	wealth.	MUKGA
#inequality	#inequality	students.
		
URL	URL	URL
via	via	via
@USER,1	@USER,1	@USER,1
----------
57326,#CrowderConfronts	57326,#CrowderConfronts	laws...
continues	continues	American!
to	to	to
expose	expose	upon
that	that	that
the	the	the
SJW	SJW	SJW
bullies	bullies	80198,"#Tories
are	are	are
paper	paper	paper
tigers	tigers	whistle.
when	when	when
conservatives	conservatives	conservatives
fight	fight	fight
back	back	back
with	with	with
truth	truth	truth
and	and	and
facts.	facts.	rant
#dontbeafraid	#dontbeafraid	sacrifices
#confrontwithtruth	#confrontwithtruth	beautiful!
URL,1	URL,1	URL,1
----------
97729,2x	97729,2x	beautiful
the	the	the
fun	fun	fun
y'all	y'all	enemies
URL,0	URL,0	URL,0
----------
24957,"...	24957,"...	Good
Antifa	Antifa	Antifa
comrades	comrades	POLICE
miss	miss	miss
the	the	the
nuance	nuance	seated
of	of	of
(a	(a	is!!!
lot	lot	lot
don't,	don't,	👌,0
but	but	but
still,	still,	impossible
people,	people,	enemies
you	you	you
know):	know):	showing.
		
It's	It's	behavior
not	not	not
that	that	that
45	45	disgrace.
is	is	is
a	a	a
white	white	white
nationalist,""	nationalist,""	🎶
as	as	as
that's	that's	that's
a	a	a
very	very	very
specific	specific	specific
community.	community.	come
It's	It's	It's
that	that	that
he	he	he
uses	uses	uses
the	the	the
same	same	same
white	white	white
supremacist	supremacist	congress
rhetoric	rhetoric	property
employed	employed	tolerance
by	by	by
WNs,	WNs,	old,1
which	which	which
gives	gives	gives
him	him	him
dangerous	dangerous	dangerous
company	company	company
with	with	with
them..""",0	them..""",0	whistle.
----------
68774,#BeckyLynch	68774,#BeckyLynch	dresses
is	is	is
beautiful	beautiful	beautiful
one	one	one
of	of	of
the	the	the
few	few	few
women	women	women
in	in	in
wrestling	wrestling	done
that	that	that
absolutely	absolutely	absolutely
need	need	need
no	no	no
work	work	work
done	done	done
at	at	at
all.	all.	Dumb
She's	She's	She's
absolutely	absolutely	absolutely
beautiful	beautiful	beautiful
just	just	just
the	the	the
way	way	way
she	she	she
is.	is.	is.
Doesn't	Doesn't	Doesn't
need	need	need
giant	giant	79164,#Leftism:
boobs	boobs	FASCISTS
or	or	or
a	a	a
fake	fake	fake
booty.	booty.	Can’t
@USER	@USER	@USER
is	is	is
just	just	just
simply	simply	simply
amazing	amazing	opponents
#HIAC,0	#HIAC,0	LOL,0
----------
43350,@USER	43350,@USER	#American
@USER	@USER	@USER
@USER	@USER	@USER
Gun	Gun	Gun
Control	Control	talks
is	is	is
nothing	nothing	nothing
but	but	but
people	people	people
control.	control.	control.
The	The	The
left	left	left
wants	wants	wants
gun	gun	gun
control	control	control
ONLY	ONLY	poster
because	because	because
they	they	they
do	do	do
NOT	NOT	NOT
want	want	want
us	us	us
little	little	little
guys	guys	guys
armed	armed	armed
&amp;	&amp;	&amp;
able	able	able
to	to	to
defend	defend	defend
ourselves.	ourselves.	POLICE
Makes	Makes	Glad
it	it	it
harder	harder	❤️,0
to	to	to
get	get	get
us	us	us
behind	behind	behind
barbed-wire	barbed-wire	mastermind
fences	fences	sure.,0
as	as	as
they	they	they
saw	saw	saw
in	in	in
North	North	pervert
Korea.,0	Korea.,0	clowns
----------
41709,"#ALERT	41709,"#ALERT	turn
		
A	A	A
win	win	win
for	for	for
the	the	the
Progressive	Progressive	same..
Conservatives.	Conservatives.	Conservatives.
		
		
The	The	The
Ontario	Ontario	sheep
Court	Court	Court
of	of	of
Appeal	Appeal	students.
has	has	has
granted	granted	maybe
a	a	a
stay	stay	stay
of	of	of
#Bill5,	#Bill5,	MASS
		
which	which	which
is	is	is
to	to	to
cut	cut	cut
the	the	the
number	number	number
of	of	of
Toronto	Toronto	Plessy
city	city	city
councillors	councillors	forgot
from	from	from
47	47	🤔🤔,0
to	to	to
25.",0	25.",0	tolerance
----------
71063,$25	71063,$25	national
Amazon/PP-1-WW-Murder	Amazon/PP-1-WW-Murder	tabby
and	and	and
Food	Food	is!!!
Porn:	Porn:	shepherd,0
A	A	A
Northwest	Northwest	MUKGA
Cozy	Cozy	Black
Mystery	Mystery	Country
#8-Dianne	#8-Dianne	Mayor,0
